category,name,address,lat,lng,자치구
schools,진관고등학교,서울특별시 은평구 진관4로 26,37.64333857,126.9243825,은평구
schools,충암고등학교,서울특별시 은평구 가좌로5길 5,37.58464029,126.9218095,은평구
schools,하나고등학교,서울특별시 은평구 연서로 535,37.64163759,126.9369302,은평구
schools,구산중학교,서울특별시 은평구 갈현로15길 20-23,37.60987202,126.9094887,은평구
schools,대성중학교,서울특별시 은평구 갈현로29길 51-24,37.62314228,126.9097907,은평구
schools,덕산중학교,서울특별시 은평구 가좌로 400,37.6022574,126.9046771,은평구
schools,불광중학교,서울특별시 은평구 불광로 180,37.62320355,126.9321291,은평구
schools,상신중학교,서울특별시 은평구 증산로15길 61,37.58978547,126.9064249,은평구
schools,선일여자중학교,서울특별시 은평구 갈현로29길 27,37.62030421,126.9119931,은평구
schools,선정중학교,서울특별시 은평구 서오릉로20길 19,37.61870451,126.9090316,은평구
schools,숭실중학교,서울특별시 은평구 은평터널로7길 6,37.59327482,126.9024039,은평구
schools,신도중학교,서울특별시 은평구 진관1로 77-30,37.63298366,126.9308787,은평구
schools,연서중학교,서울특별시 은평구 증산서길 125-6,37.58704446,126.9092766,은평구
schools,연신중학교,서울특별시 은평구 연서로33길 16-32,37.62353926,126.9242879,은평구
schools,연천중학교,서울특별시 은평구 연서로41길 30,37.62754521,126.9258198,은평구
schools,영락중학교,서울특별시 은평구 백련산로 134-6,37.5969603,126.9251334,은평구
schools,예일여자중학교,서울특별시 은평구 연서로 117,37.6109459,126.9147928,은평구
schools,은평중학교,서울특별시 은평구 갈현로17나길 12-1,37.61061869,126.9083472,은평구
schools,증산중학교,서울특별시 은평구 증산로5길 27-30,37.58344275,126.9041567,은평구
schools,진관중학교,서울특별시 은평구 진관4로 36,37.64425564,126.9257277,은평구
schools,충암중학교,서울특별시 은평구 가좌로5길 5,37.58464029,126.9218095,은평구
schools,서울갈현초등학교,서울특별시 은평구 연서로29길 31,37.61977964,126.9166834,은평구
schools,서울구산초등학교,서울특별시 은평구 서오릉로15길 16,37.61275096,126.9093765,은평구
schools,서울구현초등학교,서울특별시 은평구 갈현로15길 51,37.60984462,126.9057958,은평구
schools,서울녹번초등학교,서울특별시 은평구 녹번로1길 1,37.60458339,126.9257463,은평구
schools,서울대은초등학교,서울특별시 은평구 통일로69길 12-15,37.61236712,126.9258698,은평구
schools,서울대조초등학교,서울특별시 은평구 연서로18길 17,37.61357914,126.9193022,은평구
schools,서울북한산초등학교,서울특별시 은평구 대서문길 42-3,37.65363208,126.9504624,은평구
schools,서울불광초등학교,서울특별시 은평구 불광로 51,37.61342945,126.9307187,은평구
schools,서울상신초등학교,서울특별시 은평구 가좌로 361,37.59755372,126.9046049,은평구
schools,서울서신초등학교,서울특별시 은평구 은평터널로 150,37.59229405,126.9073823,은평구
schools,서울수리초등학교,서울특별시 은평구 불광로14길 10-10,37.62030737,126.9341783,은평구
schools,서울수색초등학교,서울특별시 은평구 수색로16길 21,37.58517215,126.8960121,은평구
schools,서울신도초등학교,서울특별시 은평구 진관1로 77-23,37.63296389,126.9291989,은평구
schools,서울신사초등학교,서울특별시 은평구 가좌로 275-2,37.5928019,126.9119832,은평구
schools,서울어울초등학교,서울특별시 은평구 통일로 650,37.60656331,126.9350984,은평구
schools,서울역촌초등학교,서울특별시 은평구 은평로3길 25,37.60158417,126.913928,은평구
schools,서울연광초등학교,서울특별시 은평구 연서로35길 37,37.62364876,126.923909,은평구
schools,서울연신초등학교,서울특별시 은평구 연서로 347,37.62605996,126.9277513,은평구
schools,서울연은초등학교,서울특별시 은평구 백련산로2길 35,37.59051222,126.9251778,은평구
schools,서울연천초등학교,서울특별시 은평구 연서로34길 22,37.62134929,126.9299179,은평구
schools,서울은명초등학교,서울특별시 은평구 은평로4길 21-9,37.59769681,126.9182757,은평구
schools,서울은빛초등학교,서울특별시 은평구 진관3로 73-17,37.64153447,126.921856,은평구
schools,서울은진초등학교,서울특별시 은평구 진관1로 21-20,37.63303012,126.920996,은평구
schools,서울은평초등학교,서울특별시 은평구 은평로 239,37.60230404,126.9340336,은평구
schools,서울응암초등학교,서울특별시 은평구 가좌로6길 20,37.58875319,126.9216161,은평구
schools,서울증산초등학교,서울특별시 은평구 증산서길 61,37.58256527,126.9042764,은평구
schools,서울진관초등학교,서울특별시 은평구 진관4로 78-16,37.64543483,126.9292124,은평구
schools,선일초등학교,서울특별시 은평구 갈현로29길 27,37.62030421,126.9119931,은평구
schools,예일초등학교,서울특별시 은평구 연서로 117,37.6109459,126.9147928,은평구
schools,충암초등학교,서울특별시 은평구 가좌로5길 5,37.58464029,126.9218095,은평구
police,서울서부 응암 지구대,서울특별시 은평구 은평로 171,37.6016345299694,126.926445885297,은평구
police,서울서부 신사 지구대,서울특별시 은평구 은평터널로5길 6호,37.5917796902503,126.90535752555,은평구
police,서울서부 녹번 파출소,서울특별시 은평구 진흥로 진흥로200,37.6088118976774,126.931835604338,은평구
police,서울서부 응암3 파출소,서울특별시 은평구 응암로 208,37.5905275289984,126.917536839269,은평구
police,서울서부 역촌 파출소,서울특별시 은평구 연서로 61,37.6045881730664,126.915065656503,은평구
police,서울구로 신구로 지구대,서울특별시 구로구 새말로 26 신구로지구대,37.5022709315884,126.88389609812,구로구
police,서울구로 오류 지구대,서울특별시 구로구 고척로1길 34 오류지구대,37.4948162993423,126.838842200207,구로구
police,서울구로 구일 지구대,서울특별시 구로구 도림로 63 구일지구대,37.4892521149095,126.890700200107,구로구
police,서울구로 고척 지구대,서울특별시 구로구 중앙로 15길 30 고척지구대,37.5066010740517,126.858302326165,구로구
police,서울구로 개봉 지구대,서울특별시 구로구 개봉로18길 5 개봉지구대,37.4918322570645,126.856448965021,구로구
police,서울구로 구로3 파출소,서울특별시 구로구 디지털로31길 86 구로3파출소,37.4866606515713,126.891399918226,구로구
police,서울구로 가리봉 파출소,서울특별시 구로구 남부순환로 1275 가리봉파출소,37.4792089328892,126.892660335738,구로구
police,서울구로 천왕 파출소,서울특별시 구로구 오리로 1102-8,37.4838544428815,126.842564336077,구로구
police,서울은평 불광 지구대,서울특별시 은평구 연서로 290,37.6214183477987,126.926581355932,은평구
police,서울은평 연신내 지구대,서울특별시 은평구 갈현로 195,37.6152127182381,126.912708898719,은평구
police,서울은평 진관 파출소,서울특별시 은평구 진관3로 38 진관파출소,37.6399452531738,126.920899644798,은평구
